t,var,len_analytical_edge_states,Wtotal,figure_id,left_edge_indicator,right_edge_indicator
-1.4620253164556962,0.5126582278481012,0,0,126,-2.8865798640254027e-15,4.884981308350677e-15
-1.4620253164556962,0.5240506329113924,0,0,127,-2.664535259100372e-15,4.6629367034256464e-15
-1.4620253164556962,0.5354430379746835,0,0,128,-7.993605777301096e-15,8.215650382226125e-15
-1.4620253164556962,0.5468354430379747,0,0,129,-3.1086244689504336e-15,1.2656542480726704e-14
-1.4620253164556962,0.5582278481012658,0,0,130,-3.774758283725525e-15,1.0658141036401446e-14
-1.4620253164556962,0.569620253164557,0,0,131,-5.7731597280507974e-15,6.883382752675947e-15
-1.4620253164556962,0.5810126582278481,0,0,132,-3.996802888650556e-15,5.995204332975827e-15
-1.4620253164556962,0.5924050632911393,0,0,133,-1.643130076445218e-14,5.107025913275707e-15
-1.4620253164556962,0.6037974683544304,0,0,134,-1.9984014443252798e-15,3.996802888650556e-15
-1.4620253164556962,0.6151898734177215,0,0,135,-3.774758283725525e-15,8.215650382226125e-15
-1.4620253164556962,0.6265822784810127,0,0,136,-2.4424906541753412e-15,5.995204332975827e-15
-1.4620253164556962,0.6379746835443038,0,0,137,-7.105427357600977e-15,3.996802888650556e-15
-1.4620253164556962,0.649367088607595,0,0,138,-4.884981308350677e-15,6.661338147750917e-15
-1.4620253164556962,0.660759493670886,0,0,139,-6.883382752675947e-15,5.7731597280507974e-15
-1.4620253164556962,0.6721518987341772,0,0,140,-5.995204332975827e-15,5.995204332975827e-15
-1.4620253164556962,0.6835443037974683,0,0,141,-2.664535259100372e-15,5.7731597280507974e-15
-1.4620253164556962,0.6949367088607595,0,0,142,-2.4424906541753412e-15,9.103828801926243e-15
-1.4620253164556962,0.7063291139240506,0,0,143,-3.774758283725525e-15,2.8865798640254027e-15
-1.4620253164556962,0.7177215189873418,0,0,144,-4.440892098500625e-16,3.330669073875464e-15
-1.4620253164556962,0.7291139240506329,0,0,145,-2.2204460492503107e-15,1.176836406102659e-14
-1.4620253164556962,0.740506329113924,0,0,146,-3.330669073875464e-15,1.1324274851176532e-14
-1.4620253164556962,0.7518987341772152,0,0,147,-6.883382752675947e-15,3.330669073875464e-15
-1.4620253164556962,0.7632911392405063,0,0,148,0.0,4.884981308350677e-15
-1.4620253164556962,0.7746835443037975,0,0,149,0.0,5.551115123125767e-15
-1.4620253164556962,0.7860759493670886,0,0,150,0.0,5.107025913275707e-15
-1.4620253164556962,0.7974683544303798,0,0,151,0.0,6.661338147750917e-15
-1.4620253164556962,0.8088607594936709,0,0,152,0.0,3.1086244689504336e-15
-1.4620253164556962,0.8202531645569621,0,0,153,0.0,7.327471962526006e-15
-1.4620253164556962,0.8316455696202532,0,0,154,0.0,4.440892098500617e-15
-1.4620253164556962,0.8430379746835444,0,0,155,0.0,6.4392935428258874e-15
-1.4620253164556962,0.8544303797468354,0,0,156,0.0,5.329070518200737e-15
-1.4620253164556962,0.8658227848101265,0,0,157,0.0,7.549516567451036e-15
-1.4620253164556962,0.8772151898734177,0,0,158,0.0,4.884981308350677e-15
-1.4620253164556962,0.8886075949367088,0,0,159,0.0,4.6629367034256464e-15
-1.4620253164556962,0.9,0,0,160,0.0,2.4424906541753412e-15
-1.4240506329113924,0.0,1,1,161,-1.9984014443252798e-15,0.9325303245017987
-1.4240506329113924,0.01139240506329114,1,1,162,-1.7763568394002489e-15,0.9065505105881841
-1.4240506329113924,0.02278481012658228,1,1,163,-3.330669073875464e-15,0.8796615860032321
-1.4240506329113924,0.03417721518987342,1,1,164,-4.6629367034256464e-15,0.8518490281615723
-1.4240506329113924,0.04556962025316456,1,1,165,-5.107025913275707e-15,0.823101005096617
-1.4240506329113924,0.056962025316455694,1,1,166,-3.996802888650556e-15,0.7934087624219426
-1.4240506329113924,0.06835443037974684,1,1,167,-3.996802888650556e-15,0.7627670130800561
-1.4240506329113924,0.07974683544303797,1,1,168,-7.549516567451036e-15,0.7311743215931178
-1.4240506329113924,0.09113924050632911,1,1,169,-6.217248937900858e-15,0.6986334736559439
-1.4240506329113924,0.10253164556962026,1,1,170,-3.330669073875464e-15,0.6651518213927737
-1.4240506329113924,0.11392405063291139,1,1,171,-2.8865798640254027e-15,0.6307415945274264
-1.4240506329113924,0.12531645569620253,1,1,172,-1.332267629550179e-14,0.5954201681241708
-1.4240506329113924,0.13670886075949368,1,1,173,-6.661338147750917e-15,0.5592102783063546
-1.4240506329113924,0.14810126582278482,1,1,174,-3.5527136788004946e-15,0.5221401777857905
-1.4240506329113924,0.15949367088607594,1,1,175,-2.4424906541753412e-15,0.48424372068866445
